sentence,sentence_with_entity,class,subject_entity,object_entity,영진,준홍
"트위치는 2017년 4월 소규모 채널도 수익을 낼 수 있는 '계열사 프로그램(Affiliate Program)'을 출시하며, 다가격 가입 계층에 대한 채널 접근을 허용하겠다고 밝혔다.","<sbj:트위치>는 <obj:2017년 4월> 소규모 채널도 수익을 낼 수 있는 '계열사 프로그램(Affiliate Program)'을 출시하며, 다가격 가입 계층에 대한 채널 접근을 허용하겠다고 밝혔다.",no_relation:no_relation,"{'start': 0, 'text': '트위치', 'type': 'no_relation'}","{'start': 5, 'text': '2017년 4월', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"블리자드 엔터테인먼트는 2017년 6월 트위치와 블리자드 e스포츠 대회 단독 스트리밍 방송사로 2년 계약을 체결했으며, 트위치 프라임 산하 시청자들은 다양한 블리자드 게임에서 특별한 보상을 받았다.","<sbj:블리자드 엔터테인먼트>는 2017년 6월 <obj:트위치>와 블리자드 e스포츠 대회 단독 스트리밍 방송사로 2년 계약을 체결했으며, 트위치 프라임 산하 시청자들은 다양한 블리자드 게임에서 특별한 보상을 받았다.",org:contract,"{'start': 0, 'text': '블리자드 엔터테인먼트', 'type': 'org'}","{'start': 22, 'text': '트위치', 'type': 'org'}",org:contract,org:contract
링크드인(영어 발음: LinkedIn [lŋkt.n])은 미국의 비즈니스 중심의 소셜 네트워크 서비스이다.,<sbj:링크드인>(영어 발음: LinkedIn [lŋkt.n])은 <obj:미국>의 비즈니스 중심의 소셜 네트워크 서비스이다.,org:location,"{'start': 0, 'text': '링크드인', 'type': 'org'}","{'start': 32, 'text': '미국', 'type': 'loc'}",org:location,org:location
결국 2020년 4월 19일 공정거래위원회가 트위치 측에 무단 영구정지 약관 등 5개의 불공정 약관에 대하여 시정조치를 권고했다.,결국 <obj:2020년 4월 19일> <sbj:공정거래위원회>가 트위치 측에 무단 영구정지 약관 등 5개의 불공정 약관에 대하여 시정조치를 권고했다.,no_relation:no_relation,"{'start': 16, 'text': '공정거래위원회', 'type': 'no_relation'}","{'start': 3, 'text': '2020년 4월 19일', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
"이것은 아담 코헨의 출판물 퍼펙트 스토어(The Perfect Store, 2002)에서 밝혀졌고 후에 이베이에 의해 확인되었다.","이것은 <obj:아담 코헨>의 출판물 퍼펙트 스토어(The Perfect Store, 2002)에서 밝혀졌고 후에 <sbj:이베이>에 의해 확인되었다.",no_relation:no_relation,"{'start': 58, 'text': '이베이', 'type': 'no_relation'}","{'start': 4, 'text': '아담 코헨', 'type': 'no_relation'}",no_relation:no_relation,no_relation:no_relation
인도에서도 마찬가지로 인도 지사를 인도의 가장 큰 전자상거래 회사 플립카트에 매각한 이후 인도 이베이 운영은 중지되었으며 후에 그 회사의 14억 달러 자금 모집에 이베이는 참여하였다.,<obj:인도>에서도 마찬가지로 인도 지사를 인도의 가장 큰 전자상거래 회사 <sbj:플립카트>에 매각한 이후 인도 이베이 운영은 중지되었으며 후에 그 회사의 14억 달러 자금 모집에 이베이는 참여하였다.,org:location,"{'start': 37, 'text': '플립카트', 'type': 'org'}","{'start': 0, 'text': '인도', 'type': 'loc'}",no_relation:no_relation,no_relation:no_relation
트위치 최고경영자(CEO) 에밋 시어는 &quot;사람들이 비디오를 보는 모든 플랫폼&quot;에 서고 싶다고 밝히며 다양한 플랫폼을 지원하고자 한다고 밝혔다.,"<obj:트위치> 최고경영자(CEO) <sbj:에밋 시어>는 ""사람들이 비디오를 보는 모든 플랫폼""에 서고 싶다고 밝히며 다양한 플랫폼을 지원하고자 한다고 밝혔다.",per:employee_of,"{'start': 15, 'text': '에밋 시어', 'type': 'per'}","{'start': 0, 'text': '트위치', 'type': 'org'}",per:employee_of,per:employee_of
"링크드인은 2002년 12월에 설립되어 2003년 5월에 운영을 시작하였으며, 전문직업인 인맥(professional network) 서비스로서 200여개 국에서 5억 명 이상이 이용하고 있다.","<sbj:링크드인>은 <obj:2002년 12월>에 설립되어 2003년 5월에 운영을 시작하였으며, 전문직업인 인맥(professional network) 서비스로서 200여개 국에서 5억 명 이상이 이용하고 있다.",org:founded,"{'start': 0, 'text': '링크드인', 'type': 'org'}","{'start': 6, 'text': '2002년 12월', 'type': 'dat'}",org:founded,org:founded
2014년 9월 30일 이베이는 페이팔을 독립된 회사로 분리할 것이라고 발표하였는데 이것은 9개월 전에 헤지 펀드 거물 칼 아이칸이 요구한 것이었다.,2014년 9월 30일 이베이는 <obj:페이팔>을 독립된 회사로 분리할 것이라고 발표하였는데 이것은 9개월 전에 헤지 펀드 거물 <sbj:칼 아이칸>이 요구한 것이었다.,no_relation:no_relation,"{'start': 67, 'text': '칼 아이칸', 'type': 'no_relation'}","{'start': 18, 'text': '페이팔', 'type': 'no_relation'}",org:members,no_relation:no_relation
이베이는 이베이 파트너 네트워크라는 이름으로 제휴 프로그램을 운영하고 있다.,<sbj:이베이>는 <obj:이베이 파트너 네트워크>라는 이름으로 제휴 프로그램을 운영하고 있다.,org:production,"{'start': 0, 'text': '이베이', 'type': 'org'}","{'start': 5, 'text': '이베이 파트너 네트워크', 'type': 'poh'}",org:production,org:production
